"State","Delegates","Trump","Cruz","Rubio","Kasich"
"IA",30,7,8,7,1
"NH",23,11,3,2,4
"SC",50,50,0,0,0
"NV",30,14,6,7,1
"AL",50,36,13,1,0
"AK",28,14,14,0,0
"AR",40,16,15,9,0
"GA",76,42,18,16,0
"MA",42,22,4,8,8
"MN",38,8,13,17,0
"OK",43,13,15,12,0
"TN",58,33,16,9,0
"TX",155,48,104,3,0
"VT",16,8,0,0,8
"VA",49,17,8,16,5
"CO",37,0,0,0,0
"KS",40,9,24,6,1
"KY",46,17,15,7,7
"LA",46,18,18,5,0
"ME",23,9,12,0,2
"PR",23,0,0,23,0
"HI",19,11,7,1,0
"ID",32,12,20,0,0
"MI",59,25,17,0,17
"MS",40,24,13,0,0
"VI",9,0,0,0,0
"WY",29,1,9,1,0
"GU",9,0,1,0,0
"DC",19,0,0,10,9
"FL",99,99,0,0,0
"IL",69,53,9,0,5
"MO",52,25,15,0,0
"NC",72,29,27,6,9
"MP",9,9,0,0,0
"OH",66,0,0,0,66
"AS",9,0,0,0,0
"AZ",58,0,0,0,0
"UT",40,0,0,0,0
"ND",28,0,0,0,0
"WI",42,0,0,0,0
"NY",95,0,0,0,0
"CT",28,0,0,0,0
"DE",16,0,0,0,0
"MD",38,0,0,0,0
"PA",71,0,0,0,0
"RI",19,0,0,0,0
"IN",57,0,0,0,0
"NE",36,0,0,0,0
"WV",34,0,0,0,0
"OR",28,0,0,0,0
"WA",44,0,0,0,0
"CA",172,0,0,0,0
"MT",27,0,0,0,0
"NJ",51,0,0,0,0
"NM",24,0,0,0,0
"SD",29,0,0,0,0
